id,title,body_html,vendor,product_type,created_at,handle,updated_at,published_at,template_suffix,published_scope,tags,status,admin_graphql_api_id,variants,options,images,image
9721443909973,Gift Card,This is a gift card for the store,Snowboard Vendor,giftcard,2024-12-17T18:01:43-05:00,gift-card,2024-12-18T06:02:49-05:00,2024-12-17T18:01:43-05:00,,web,,active,gid://shopify/Product/9721443909973,"[{'id': 50033322459477, 'title': '$10', 'price': '10.00', 'position': 1, 'inventory_policy': 'deny', 'compare_at_price': None, 'option1': '$10', 'option2': None, 'option3': None, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:43-05:00', 'taxable': False, 'barcode': None, 'fulfillment_service': 'gift_card', 'grams': 0, 'inventory_management': None, 'requires_shipping': False, 'sku': None, 'weight': 0.0, 'weight_unit': 'lb', 'inventory_item_id': 51920814342485, 'inventory_quantity': 0, 'old_inventory_quantity': 0, 'admin_graphql_api_id': 'gid://shopify/ProductVariant/50033322459477', 'image_id': None}, {'id': 50033322492245, 'title': '$25', 'price': '25.00', 'position': 2, 'inventory_policy': 'deny', 'compare_at_price': None, 'option1': '$25', 'option2': None, 'option3': None, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:43-05:00', 'taxable': False, 'barcode': None, 'fulfillment_service': 'gift_card', 'grams': 0, 'inventory_management': None, 'requires_shipping': False, 'sku': None, 'weight': 0.0, 'weight_unit': 'lb', 'inventory_item_id': 51920814375253, 'inventory_quantity': 0, 'old_inventory_quantity': 0, 'admin_graphql_api_id': 'gid://shopify/ProductVariant/50033322492245', 'image_id': None}, {'id': 50033322525013, 'title': '$50', 'price': '50.00', 'position': 3, 'inventory_policy': 'deny', 'compare_at_price': None, 'option1': '$50', 'option2': None, 'option3': None, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:43-05:00', 'taxable': False, 'barcode': None, 'fulfillment_service': 'gift_card', 'grams': 0, 'inventory_management': None, 'requires_shipping': False, 'sku': None, 'weight': 0.0, 'weight_unit': 'lb', 'inventory_item_id': 51920814408021, 'inventory_quantity': 0, 'old_inventory_quantity': 0, 'admin_graphql_api_id': 'gid://shopify/ProductVariant/50033322525013', 'image_id': None}, {'id': 50033322557781, 'title': '$100', 'price': '100.00', 'position': 4, 'inventory_policy': 'deny', 'compare_at_price': None, 'option1': '$100', 'option2': None, 'option3': None, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:43-05:00', 'taxable': False, 'barcode': None, 'fulfillment_service': 'gift_card', 'grams': 0, 'inventory_management': None, 'requires_shipping': False, 'sku': None, 'weight': 0.0, 'weight_unit': 'lb', 'inventory_item_id': 51920814440789, 'inventory_quantity': 0, 'old_inventory_quantity': 0, 'admin_graphql_api_id': 'gid://shopify/ProductVariant/50033322557781', 'image_id': None}]","[{'id': 12195547808085, 'product_id': 9721443909973, 'name': 'Denominations', 'position': 1, 'values': ['$10', '$25', '$50', '$100']}]","[{'id': 56982729490773, 'alt': 'Gift card that shows text: Generated data gift card', 'position': 1, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:46-05:00', 'admin_graphql_api_id': 'gid://shopify/ProductImage/56982729490773', 'width': 2881, 'height': 2881, 'src': 'https://cdn.shopify.com/s/files/1/0921/7969/3909/files/gift_card.png?v=1734476506', 'variant_ids': []}]","{'id': 56982729490773, 'alt': 'Gift card that shows text: Generated data gift card', 'position': 1, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:46-05:00', 'admin_graphql_api_id': 'gid://shopify/ProductImage/56982729490773', 'width': 2881, 'height': 2881, 'src': 'https://cdn.shopify.com/s/files/1/0921/7969/3909/files/gift_card.png?v=1734476506', 'variant_ids': []}"
9721443942741,The Inventory Not Tracked Snowboard,,Impression Digital Test Store,snowboard,2024-12-17T18:01:43-05:00,the-inventory-not-tracked-snowboard,2024-12-18T06:03:35-05:00,2024-12-17T18:01:43-05:00,,web,"Accessory, Sport, Winter",active,gid://shopify/Product/9721443942741,"[{'id': 50033322623317, 'title': 'Default Title', 'price': '949.95', 'position': 1, 'inventory_policy': 'deny', 'compare_at_price': None, 'option1': 'Default Title', 'option2': None, 'option3': None, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:43-05:00', 'taxable': True, 'barcode': None, 'fulfillment_service': 'manual', 'grams': 0, 'inventory_management': None, 'requires_shipping': True, 'sku': 'sku-untracked-1', 'weight': 0.0, 'weight_unit': 'lb', 'inventory_item_id': 51920814473557, 'inventory_quantity': 0, 'old_inventory_quantity': 0, 'admin_graphql_api_id': 'gid://shopify/ProductVariant/50033322623317', 'image_id': None}]","[{'id': 12195547840853, 'product_id': 9721443942741, 'name': 'Title', 'position': 1, 'values': ['Default Title']}]","[{'id': 56982729589077, 'alt': 'Top and bottom view of a snowboard. The top view shows a centred hexagonal logo for Hydrogen that\n          appears to radiate outwards, as well as some overlapping hexagons at the bottom. The bottom view shows an\n          abstract angular grid in purples.', 'position': 1, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:46-05:00', 'admin_graphql_api_id': 'gid://shopify/ProductImage/56982729589077', 'width': 3097, 'height': 3908, 'src': 'https://cdn.shopify.com/s/files/1/0921/7969/3909/files/snowboard_purple_hydrogen.png?v=1734476506', 'variant_ids': []}]","{'id': 56982729589077, 'alt': 'Top and bottom view of a snowboard. The top view shows a centred hexagonal logo for Hydrogen that\n          appears to radiate outwards, as well as some overlapping hexagons at the bottom. The bottom view shows an\n          abstract angular grid in purples.', 'position': 1, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:46-05:00', 'admin_graphql_api_id': 'gid://shopify/ProductImage/56982729589077', 'width': 3097, 'height': 3908, 'src': 'https://cdn.shopify.com/s/files/1/0921/7969/3909/files/snowboard_purple_hydrogen.png?v=1734476506', 'variant_ids': []}"
9721444008277,The Draft Snowboard,,Snowboard Vendor,snowboard,2024-12-17T18:01:43-05:00,the-draft-snowboard,2024-12-18T06:02:55-05:00,,,web,,draft,gid://shopify/Product/9721444008277,"[{'id': 50033322688853, 'title': 'Default Title', 'price': '2629.95', 'position': 1, 'inventory_policy': 'deny', 'compare_at_price': None, 'option1': 'Default Title', 'option2': None, 'option3': None, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:43-05:00', 'taxable': True, 'barcode': None, 'fulfillment_service': 'manual', 'grams': 0, 'inventory_management': 'shopify', 'requires_shipping': True, 'sku': None, 'weight': 0.0, 'weight_unit': 'lb', 'inventory_item_id': 51920814571861, 'inventory_quantity': 20, 'old_inventory_quantity': 20, 'admin_graphql_api_id': 'gid://shopify/ProductVariant/50033322688853', 'image_id': None}]","[{'id': 12195547906389, 'product_id': 9721444008277, 'name': 'Title', 'position': 1, 'values': ['Default Title']}]","[{'id': 56982729130325, 'alt': 'Top and bottom view of a snowboard.The top view shows the text “hydrogen” in overlapping blue,\n          pink and black font. The bottom view is a purple to blue gradient with white geometric pattern overlay.', 'position': 1, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:45-05:00', 'admin_graphql_api_id': 'gid://shopify/ProductImage/56982729130325', 'width': 1600, 'height': 1600, 'src': 'https://cdn.shopify.com/s/files/1/0921/7969/3909/files/Main_5127218a-8f6c-498f-b489-09242c0fab0a.jpg?v=1734476505', 'variant_ids': []}]","{'id': 56982729130325, 'alt': 'Top and bottom view of a snowboard.The top view shows the text “hydrogen” in overlapping blue,\n          pink and black font. The bottom view is a purple to blue gradient with white geometric pattern overlay.', 'position': 1, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:45-05:00', 'admin_graphql_api_id': 'gid://shopify/ProductImage/56982729130325', 'width': 1600, 'height': 1600, 'src': 'https://cdn.shopify.com/s/files/1/0921/7969/3909/files/Main_5127218a-8f6c-498f-b489-09242c0fab0a.jpg?v=1734476505', 'variant_ids': []}"
9721444041045,The Hidden Snowboard,,Snowboard Vendor,snowboard,2024-12-17T18:01:43-05:00,the-hidden-snowboard,2024-12-18T06:03:00-05:00,,,web,"Premium, Snow, Snowboard, Sport, Winter",active,gid://shopify/Product/9721444041045,"[{'id': 50033322754389, 'title': 'Default Title', 'price': '749.95', 'position': 1, 'inventory_policy': 'deny', 'compare_at_price': None, 'option1': 'Default Title', 'option2': None, 'option3': None, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:43-05:00', 'taxable': True, 'barcode': None, 'fulfillment_service': 'manual', 'grams': 0, 'inventory_management': 'shopify', 'requires_shipping': True, 'sku': None, 'weight': 0.0, 'weight_unit': 'lb', 'inventory_item_id': 51920814670165, 'inventory_quantity': 50, 'old_inventory_quantity': 50, 'admin_graphql_api_id': 'gid://shopify/ProductVariant/50033322754389', 'image_id': None}]","[{'id': 12195547939157, 'product_id': 9721444041045, 'name': 'Title', 'position': 1, 'values': ['Default Title']}]","[{'id': 56982729163093, 'alt': 'The top view and bottom view of a snowboard. The top view is black with a singular peach cube.\n        The bottom view has a graphic of a stack of blocks in a gradient from light blue, to pink to peach.', 'position': 1, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:45-05:00', 'admin_graphql_api_id': 'gid://shopify/ProductImage/56982729163093', 'width': 1600, 'height': 1600, 'src': 'https://cdn.shopify.com/s/files/1/0921/7969/3909/files/Main_c8ff0b5d-c712-429a-be00-b29bd55cbc9d.jpg?v=1734476505', 'variant_ids': []}]","{'id': 56982729163093, 'alt': 'The top view and bottom view of a snowboard. The top view is black with a singular peach cube.\n        The bottom view has a graphic of a stack of blocks in a gradient from light blue, to pink to peach.', 'position': 1, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:45-05:00', 'admin_graphql_api_id': 'gid://shopify/ProductImage/56982729163093', 'width': 1600, 'height': 1600, 'src': 'https://cdn.shopify.com/s/files/1/0921/7969/3909/files/Main_c8ff0b5d-c712-429a-be00-b29bd55cbc9d.jpg?v=1734476505', 'variant_ids': []}"
9721444073813,The Out of Stock Snowboard,,Impression Digital Test Store,snowboard,2024-12-17T18:01:43-05:00,the-out-of-stock-snowboard,2024-12-18T06:03:04-05:00,2024-12-17T18:01:44-05:00,,web,"Accessory, Sport, Winter",active,gid://shopify/Product/9721444073813,"[{'id': 50033322721621, 'title': 'Default Title', 'price': '885.95', 'position': 1, 'inventory_policy': 'deny', 'compare_at_price': None, 'option1': 'Default Title', 'option2': None, 'option3': None, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:43-05:00', 'taxable': True, 'barcode': None, 'fulfillment_service': 'manual', 'grams': 0, 'inventory_management': 'shopify', 'requires_shipping': True, 'sku': None, 'weight': 0.0, 'weight_unit': 'lb', 'inventory_item_id': 51920814604629, 'inventory_quantity': 0, 'old_inventory_quantity': 0, 'admin_graphql_api_id': 'gid://shopify/ProductVariant/50033322721621', 'image_id': None}]","[{'id': 12195547971925, 'product_id': 9721444073813, 'name': 'Title', 'position': 1, 'values': ['Default Title']}]","[{'id': 56982729359701, 'alt': 'Top and bottom view of a snowboard. The top view shows a toggle at the top in shades of blue and\n        yellow. The bottom view shows an abstract illustration of toggles in blues and yellows.', 'position': 1, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:46-05:00', 'admin_graphql_api_id': 'gid://shopify/ProductImage/56982729359701', 'width': 3908, 'height': 3908, 'src': 'https://cdn.shopify.com/s/files/1/0921/7969/3909/files/Main_f44a9605-cd62-464d-b095-d45cdaa0d0d7.jpg?v=1734476506', 'variant_ids': []}]","{'id': 56982729359701, 'alt': 'Top and bottom view of a snowboard. The top view shows a toggle at the top in shades of blue and\n        yellow. The bottom view shows an abstract illustration of toggles in blues and yellows.', 'position': 1, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:46-05:00', 'admin_graphql_api_id': 'gid://shopify/ProductImage/56982729359701', 'width': 3908, 'height': 3908, 'src': 'https://cdn.shopify.com/s/files/1/0921/7969/3909/files/Main_f44a9605-cd62-464d-b095-d45cdaa0d0d7.jpg?v=1734476506', 'variant_ids': []}"
9721444106581,The Archived Snowboard,,Snowboard Vendor,snowboard,2024-12-17T18:01:43-05:00,the-archived-snowboard,2024-12-18T06:03:36-05:00,,,web,"Archived, Premium, Snow, Snowboard, Sport, Winter",archived,gid://shopify/Product/9721444106581,"[{'id': 50033322787157, 'title': 'Default Title', 'price': '629.95', 'position': 1, 'inventory_policy': 'deny', 'compare_at_price': None, 'option1': 'Default Title', 'option2': None, 'option3': None, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:43-05:00', 'taxable': True, 'barcode': None, 'fulfillment_service': 'manual', 'grams': 0, 'inventory_management': 'shopify', 'requires_shipping': True, 'sku': None, 'weight': 0.0, 'weight_unit': 'lb', 'inventory_item_id': 51920814637397, 'inventory_quantity': 50, 'old_inventory_quantity': 50, 'admin_graphql_api_id': 'gid://shopify/ProductVariant/50033322787157', 'image_id': None}]","[{'id': 12195548004693, 'product_id': 9721444106581, 'name': 'Title', 'position': 1, 'values': ['Default Title']}]","[{'id': 56982729097557, 'alt': 'The top and bottom view of a snowboard.The top view is a gradient light purple and dark purple\n        with a cube geometric pattern. The bottom view blue with light blue octagon geometric pattern.', 'position': 1, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:45-05:00', 'admin_graphql_api_id': 'gid://shopify/ProductImage/56982729097557', 'width': 1600, 'height': 1600, 'src': 'https://cdn.shopify.com/s/files/1/0921/7969/3909/files/Main_52f8e304-92d9-4a36-82af-50df8fe31c69.jpg?v=1734476505', 'variant_ids': []}]","{'id': 56982729097557, 'alt': 'The top and bottom view of a snowboard.The top view is a gradient light purple and dark purple\n        with a cube geometric pattern. The bottom view blue with light blue octagon geometric pattern.', 'position': 1, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:45-05:00', 'admin_graphql_api_id': 'gid://shopify/ProductImage/56982729097557', 'width': 1600, 'height': 1600, 'src': 'https://cdn.shopify.com/s/files/1/0921/7969/3909/files/Main_52f8e304-92d9-4a36-82af-50df8fe31c69.jpg?v=1734476505', 'variant_ids': []}"
9721444204885,The Videographer Snowboard,,Impression Digital Test Store,snowboard,2024-12-17T18:01:43-05:00,the-videographer-snowboard,2024-12-18T06:02:50-05:00,2024-12-17T18:01:44-05:00,,web,,active,gid://shopify/Product/9721444204885,"[{'id': 50033322918229, 'title': 'Default Title', 'price': '885.95', 'position': 1, 'inventory_policy': 'deny', 'compare_at_price': None, 'option1': 'Default Title', 'option2': None, 'option3': None, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:43-05:00', 'taxable': True, 'barcode': None, 'fulfillment_service': 'manual', 'grams': 0, 'inventory_management': 'shopify', 'requires_shipping': True, 'sku': None, 'weight': 0.0, 'weight_unit': 'lb', 'inventory_item_id': 51920814801237, 'inventory_quantity': 50, 'old_inventory_quantity': 50, 'admin_graphql_api_id': 'gid://shopify/ProductVariant/50033322918229', 'image_id': None}]","[{'id': 12195548102997, 'product_id': 9721444204885, 'name': 'Title', 'position': 1, 'values': ['Default Title']}]","[{'id': 56982729261397, 'alt': 'The top and bottom view of a snowboard. The top has view is turquoise and black with graphics of\n        trees. The bottom view is turquoise with the word hydrogen written in cursive.', 'position': 1, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:46-05:00', 'admin_graphql_api_id': 'gid://shopify/ProductImage/56982729261397', 'width': 1024, 'height': 1024, 'src': 'https://cdn.shopify.com/s/files/1/0921/7969/3909/files/Main.jpg?v=1734476506', 'variant_ids': []}]","{'id': 56982729261397, 'alt': 'The top and bottom view of a snowboard. The top has view is turquoise and black with graphics of\n        trees. The bottom view is turquoise with the word hydrogen written in cursive.', 'position': 1, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:46-05:00', 'admin_graphql_api_id': 'gid://shopify/ProductImage/56982729261397', 'width': 1024, 'height': 1024, 'src': 'https://cdn.shopify.com/s/files/1/0921/7969/3909/files/Main.jpg?v=1734476506', 'variant_ids': []}"
9721444237653,The Compare at Price Snowboard,,Impression Digital Test Store,snowboard,2024-12-17T18:01:43-05:00,the-compare-at-price-snowboard,2024-12-18T06:03:22-05:00,2024-12-17T18:01:44-05:00,,web,"Accessory, Sport, Winter",active,gid://shopify/Product/9721444237653,"[{'id': 50033322885461, 'title': 'Default Title', 'price': '785.95', 'position': 1, 'inventory_policy': 'deny', 'compare_at_price': '885.95', 'option1': 'Default Title', 'option2': None, 'option3': None, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:43-05:00', 'taxable': True, 'barcode': None, 'fulfillment_service': 'manual', 'grams': 0, 'inventory_management': 'shopify', 'requires_shipping': True, 'sku': None, 'weight': 0.0, 'weight_unit': 'lb', 'inventory_item_id': 51920814768469, 'inventory_quantity': 10, 'old_inventory_quantity': 10, 'admin_graphql_api_id': 'gid://shopify/ProductVariant/50033322885461', 'image_id': None}]","[{'id': 12195548135765, 'product_id': 9721444237653, 'name': 'Title', 'position': 1, 'values': ['Default Title']}]","[{'id': 56982729687381, 'alt': 'Top and bottom view of a snowboard. The top view shows pixelated clouds, with the top-most one being\n        the shape of the Shopify bag logo. The bottom view has a pixelated cloudy sky with blue, pink and purple\n        colours.', 'position': 1, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:46-05:00', 'admin_graphql_api_id': 'gid://shopify/ProductImage/56982729687381', 'width': 3097, 'height': 3908, 'src': 'https://cdn.shopify.com/s/files/1/0921/7969/3909/files/snowboard_sky.png?v=1734476506', 'variant_ids': []}]","{'id': 56982729687381, 'alt': 'Top and bottom view of a snowboard. The top view shows pixelated clouds, with the top-most one being\n        the shape of the Shopify bag logo. The bottom view has a pixelated cloudy sky with blue, pink and purple\n        colours.', 'position': 1, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:46-05:00', 'admin_graphql_api_id': 'gid://shopify/ProductImage/56982729687381', 'width': 3097, 'height': 3908, 'src': 'https://cdn.shopify.com/s/files/1/0921/7969/3909/files/snowboard_sky.png?v=1734476506', 'variant_ids': []}"
9721444270421,Selling Plans Ski Wax,,Impression Digital Test Store,accessories,2024-12-17T18:01:43-05:00,selling-plans-ski-wax,2024-12-18T06:03:03-05:00,2024-12-17T18:01:44-05:00,,web,"Accessory, Sport, Winter",active,gid://shopify/Product/9721444270421,"[{'id': 50033323147605, 'title': 'Selling Plans Ski Wax', 'price': '24.95', 'position': 1, 'inventory_policy': 'deny', 'compare_at_price': None, 'option1': 'Selling Plans Ski Wax', 'option2': None, 'option3': None, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:43-05:00', 'taxable': True, 'barcode': None, 'fulfillment_service': 'manual', 'grams': 57, 'inventory_management': 'shopify', 'requires_shipping': True, 'sku': None, 'weight': 2.0, 'weight_unit': 'oz', 'inventory_item_id': 51920814866773, 'inventory_quantity': 10, 'old_inventory_quantity': 10, 'admin_graphql_api_id': 'gid://shopify/ProductVariant/50033323147605', 'image_id': None}, {'id': 50033323180373, 'title': 'Special Selling Plans Ski Wax', 'price': '49.95', 'position': 2, 'inventory_policy': 'deny', 'compare_at_price': None, 'option1': 'Special Selling Plans Ski Wax', 'option2': None, 'option3': None, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:43-05:00', 'taxable': True, 'barcode': None, 'fulfillment_service': 'manual', 'grams': 71, 'inventory_management': 'shopify', 'requires_shipping': True, 'sku': None, 'weight': 2.5, 'weight_unit': 'oz', 'inventory_item_id': 51920814899541, 'inventory_quantity': 10, 'old_inventory_quantity': 10, 'admin_graphql_api_id': 'gid://shopify/ProductVariant/50033323180373', 'image_id': None}, {'id': 50033323213141, 'title': 'Sample Selling Plans Ski Wax', 'price': '9.95', 'position': 3, 'inventory_policy': 'deny', 'compare_at_price': None, 'option1': 'Sample Selling Plans Ski Wax', 'option2': None, 'option3': None, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:43-05:00', 'taxable': True, 'barcode': None, 'fulfillment_service': 'manual', 'grams': 14, 'inventory_management': 'shopify', 'requires_shipping': True, 'sku': None, 'weight': 0.5, 'weight_unit': 'oz', 'inventory_item_id': 51920814932309, 'inventory_quantity': 10, 'old_inventory_quantity': 10, 'admin_graphql_api_id': 'gid://shopify/ProductVariant/50033323213141', 'image_id': None}]","[{'id': 12195548168533, 'product_id': 9721444270421, 'name': 'Title', 'position': 1, 'values': ['Selling Plans Ski Wax', 'Special Selling Plans Ski Wax', 'Sample Selling Plans Ski Wax']}]","[{'id': 56982729621845, 'alt': 'A bar of golden yellow wax', 'position': 1, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:46-05:00', 'admin_graphql_api_id': 'gid://shopify/ProductImage/56982729621845', 'width': 2881, 'height': 2881, 'src': 'https://cdn.shopify.com/s/files/1/0921/7969/3909/files/snowboard_wax.png?v=1734476506', 'variant_ids': []}, {'id': 56982729720149, 'alt': 'A bar of purple wax', 'position': 2, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:46-05:00', 'admin_graphql_api_id': 'gid://shopify/ProductImage/56982729720149', 'width': 2881, 'height': 2881, 'src': 'https://cdn.shopify.com/s/files/1/0921/7969/3909/files/wax-special.png?v=1734476506', 'variant_ids': []}, {'id': 56982729556309, 'alt': 'a small cube of wax', 'position': 3, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:46-05:00', 'admin_graphql_api_id': 'gid://shopify/ProductImage/56982729556309', 'width': 2881, 'height': 2881, 'src': 'https://cdn.shopify.com/s/files/1/0921/7969/3909/files/sample-normal-wax.png?v=1734476506', 'variant_ids': []}]","{'id': 56982729621845, 'alt': 'A bar of golden yellow wax', 'position': 1, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:01:46-05:00', 'admin_graphql_api_id': 'gid://shopify/ProductImage/56982729621845', 'width': 2881, 'height': 2881, 'src': 'https://cdn.shopify.com/s/files/1/0921/7969/3909/files/snowboard_wax.png?v=1734476506', 'variant_ids': []}"
9721444303189,The Minimal Snowboard,,Impression Digital Test Store,,2024-12-17T18:01:43-05:00,the-minimal-snowboard,2024-12-17T18:15:23-05:00,,,web,,active,gid://shopify/Product/9721444303189,"[{'id': 50033322852693, 'title': 'Default Title', 'price': '885.95', 'position': 1, 'inventory_policy': 'deny', 'compare_at_price': None, 'option1': 'Default Title', 'option2': None, 'option3': None, 'created_at': '2024-12-17T18:01:43-05:00', 'updated_at': '2024-12-17T18:11:16-05:00', 'taxable': True, 'barcode': None, 'fulfillment_service': 'manual', 'grams': 0, 'inventory_management': 'shopify', 'requires_shipping': True, 'sku': None, 'weight': 0.0, 'weight_unit': 'lb', 'inventory_item_id': 51920814735701, 'inventory_quantity': 48, 'old_inventory_quantity': 48, 'admin_graphql_api_id': 'gid://shopify/ProductVariant/50033322852693', 'image_id': None}]","[{'id': 12195548201301, 'product_id': 9721444303189, 'name': 'Title', 'position': 1, 'values': ['Default Title']}]",[],
